time,value
2020-11-01 00:57:19,388.04
2020-11-01 01:01:02,388.04
2020-11-01 01:03:28,388.04
2020-11-01 01:07:16,388.04
2020-11-01 10:29:47,388.04
2020-11-01 10:39:50,388.04
2020-11-01 10:45:20,388.04
2020-11-01 18:23:14,388.04
2020-11-01 18:58:13,388.04
